a	a˧˧
ba làng bảy chợ	ba˧˧laŋ˧˨băj˧˩˨cɤ˨ˀ˩ʔ
ba lá	ba˧˧la˨˦
ba láp	ba˧˧lap˦˥
ba lém	ba˧˧lɛm˨˦
ba lê	ba˧˧le˧˧
ba lòng	ba˧˧lɔŋ͡m˧˨
ba lô	ba˧˧lo˧˧
ba lông	ba˧˧loŋ͡m˧˧
ba lăng nhăng	ba˧˧lăŋ˧˧ɲăŋ˧˧
ba lơn	ba˧˧lɤn˧˧
ba lần bảy lượt	ba˧˧lɤ̆n˧˨băj˧˩˨lɯət˨ˀ˩
ba lừa bảy lọc	ba˧˧lɯə˧˨băj˧˩˨lɔk͡p˨ˀ˩
ba má	ba˧˧ma˨˦
ba máu sáu cơn	ba˧˧măw˨˦săw˨˦kɤn˧˧
ba mùn	ba˧˧mun˧˨
ba mũi giáp công	ba˧˧muj˧ˀ˥zap˦˥koŋ͡m˧˧
ba mươi	ba˧˧mɯəj˧˧
ba mươi sáu chước	ba˧˧mɯəj˧˧săw˨˦cɯək˦˥
ba mươi sáu cái nõn nường	ba˧˧mɯəj˧˧săw˨˦kaj˨˦nɔn˧ˀ˥nɯəŋ˧˨
ba mươi tết	ba˧˧mɯəj˧˧tet˦˥
ba mươi được ăn, mồng một tìm đến	ba˧˧mɯəj˧˧dɯək˨ˀ˩ăn˧˧moŋ͡m˧˨mot˨ˀ˩tim˧˨den˨˦
ba mặt một lời	ba˧˧măt˨ˀ˩mot˨ˀ˩lɤj˧˨
ba mớ	ba˧˧mɤ˨˦
ba mứa	ba˧˧mɯə˨˦
ba na	ba˧˧na˧˧
ba nam	ba˧˧nam˧˧
ba nang	ba˧˧naŋ˧˧
ba ngay	ba˧˧ŋăj˧˧
ba ngày	ba˧˧ŋăj˧˨
ba ngòi	ba˧˧ŋɔj˧˨
ba ngôi	ba˧˧ŋoj˧˧
ba ngạc	ba˧˧ŋak˨ˀ˩
ba nhất	ba˧˧ɲɤ̆t˦˥
ba phải	ba˧˧faj˧˩˨
ba que	ba˧˧kwɛ˧˧
ba que xỏ lá	ba˧˧kwɛ˧˧sɔ˧˩˨la˨˦
ba quyết tâm	ba˧˧kwiɛt˦˥tɤ̆m˧˧
ba quân	ba˧˧kwɤ̆n˧˧
ba rem	ba˧˧zɛm˧˧
ba ri e	ba˧˧zi˧˧ɛ˧˧
ba rọi	ba˧˧zɔj˨ˀ˩ʔ
ba sao	ba˧˧saw˧˧
ba sinh	ba˧˧siŋ˧˧
ba sinh hương lửa	ba˧˧siŋ˧˧hɯəŋ˧˧lɯə˧˩˨
ba soi	ba˧˧sɔj˧˧
ba sôi hai lạnh	ba˧˧soj˧˧haj˧˧lɛŋ˨ˀ˩ʔ
ba sương một nắng	ba˧˧sɯəŋ˧˧mot˨ˀ˩năŋ˨˦
ba sẵn sàng	ba˧˧săn˧ˀ˥saŋ˧˨
ba thu	ba˧˧tʰu˧˧
ba thành	ba˧˧tʰɛŋ˧˨
ba tháng	ba˧˧tʰaŋ˨˦
ba tháng mười ngày	ba˧˧tʰaŋ˨˦mɯəj˧˨ŋăj˧˨
ba tháng trông cây một ngày trông quả	ba˧˧tʰaŋ˨˦coŋ͡m˧˧kɤ̆j˧˧mot˨ˀ˩ŋăj˧˨coŋ͡m˧˧kwa˧˩˨
ba thê bảy thiếp	ba˧˧tʰe˧˧băj˧˩˨tʰiəp˦˥
ba thúng cũng vào một đấu	ba˧˧tʰuŋ͡m˨˦kuŋ͡m˧ˀ˥vaw˧˨mot˨ˀ˩dɤ̆w˨˦
ba thắc	ba˧˧tʰăk˦˥
ba thứ quân	ba˧˧tʰɯ˨˦kwɤ̆n˧˧
ba thứ tóc	ba˧˧tʰɯ˨˦tɔk͡p˦˥
ba tiêu	ba˧˧tiəw˧˧
ba toong	ba˧˧tɔŋ͡m˧˧
ba toác	ba˧˧twak˦˥
ba trang	ba˧˧caŋ˧˧
ba tri	ba˧˧ci˧˧
ba trinh	ba˧˧ciŋ˧˧
ba trui	ba˧˧cuj˧˧
ba trá	ba˧˧ca˨˦
ba trăng	ba˧˧căŋ˧˧
ba trại	ba˧˧caj˨ˀ˩ʔ
ba trợn	ba˧˧cɤn˨ˀ˩ʔ
ba trợn ba trạc	ba˧˧cɤn˨ˀ˩ʔba˧˧cak˨ˀ˩
ba trợn ba trạo	ba˧˧cɤn˨ˀ˩ʔba˧˧caw˨ˀ˩ʔ
ba tui	ba˧˧tuj˧˧
ba tuần	ba˧˧twɤ̆n˧˨
ba tê	ba˧˧te˧˧
ba tô	ba˧˧to˧˧
ba tơ	ba˧˧tɤ˧˧
ba tấc lưỡi	ba˧˧tɤ̆k˦˥lɯəj˧ˀ˥
ba tầng	ba˧˧tɤ̆ŋ˧˨
ba vinh	ba˧˧viŋ˧˧
ba vuông bảy tròn	ba˧˧vuəŋ˧˧băj˧˩˨cɔn˧˨
ba vuông sánh với bảy tròn	ba˧˧vuəŋ˧˧sɛŋ˨˦vɤj˨˦băj˧˩˨cɔn˧˨
ba vành	ba˧˧vɛŋ˧˨
ba vành bảy vẻ	ba˧˧vɛŋ˧˨băj˧˩˨vɛ˧˩˨
ba vành sơn son	ba˧˧vɛŋ˧˨sɤn˧˧sɔn˧˧
ba vì	ba˧˧vi˧˨
ba vòng	ba˧˧vɔŋ͡m˧˨
ba vùng chiến lược	ba˧˧vuŋ͡m˧˨ciən˨˦lɯək˨ˀ˩
ba vạ	ba˧˧va˨ˀ˩ʔ
ba vạn chín nghìn	ba˧˧van˨ˀ˩ʔcin˨˦ŋin˧˨
ba vạn sáu nghìn ngày	ba˧˧van˨ˀ˩ʔsăw˨˦ŋin˧˨ŋăj˧˨
ba xa	ba˧˧sa˧˧
ba xuân	ba˧˧swɤ̆n˧˧
ba xôi nhồi một chõ	ba˧˧soj˧˧ɲoj˧˨mot˨ˀ˩cɔ˧ˀ˥
ba xạo	ba˧˧saw˨ˀ˩ʔ
ba điền	ba˧˧diən˧˨
ba đào	ba˧˧daw˧˨
ba đình	ba˧˧diŋ˧˨
ba đông	ba˧˧doŋ͡m˧˧
ba đảm đang	ba˧˧dam˧˩˨daŋ˧˧
ba đấng ba loài	ba˧˧dɤ̆ŋ˨˦ba˧˧lwaj˧˨
ba đầu sáu tay	ba˧˧dɤ̆w˧˨săw˨˦tăj˧˧
ba đậu	ba˧˧dɤ̆w˨ˀ˩ʔ
ba đậu nam	ba˧˧dɤ̆w˨ˀ˩ʔnam˧˧
ba đậu tây	ba˧˧dɤ̆w˨ˀ˩ʔtɤ̆j˧˧
ba đồn	ba˧˧don˧˨
ba động	ba˧˧doŋ͡m˨ˀ˩ʔ
ba đời	ba˧˧dɤj˧˨
ba đời bảy họ	ba˧˧dɤj˧˨băj˧˩˨hɔ˨ˀ˩ʔ
ba-dan	ba˧˧-zan˧˧
ba-dô-ca	ba˧˧-zo˧˧-ka˧˧
ba-dơ	ba˧˧-zɤ˧˧
ba-ga	ba˧˧-ɣa˧˧
ba-hi	ba˧˧-hi˧˧
ba-ke-lit	ba˧˧-kɛ˧˧-lit˧˧
ba-ke-lít	ba˧˧-kɛ˧˧-lit˦˥
ba-lát	ba˧˧-lat˦˥
ba-lê	ba˧˧-le˧˧
ba-lô	ba˧˧-lo˧˧
ba-lông	ba˧˧-loŋ͡m˧˧
ba-ren	ba˧˧-zɛn˧˧
ba-ri	ba˧˧-zi˧˧
ba-ri-e	ba˧˧-zi˧˧-ɛ˧˧
ba-ta	ba˧˧-ta˧˧
ba-tanh	ba˧˧-tɛŋ˧˧
ba-ti-nê	ba˧˧-ti˧˧-ne˧˧
ba-toong	ba˧˧-tɔŋ͡m˧˧
ba-trui, ba-tui	ba˧˧-cuj˧˧ba˧˧-tuj˧˧
ba-tui	ba˧˧-tuj˧˧
ba-tê	ba˧˧-te˧˧
ba-tê-sô	ba˧˧-te˧˧-so˧˧
ba-tăng	ba˧˧-tăŋ˧˧
ba-xí ba-tú	ba˧˧-si˨˦ba˧˧-tu˨˦
ba-đờ-xuy	ba˧˧-dɤ˧˨-swi˧˧
bai	baj˧˧
bai bải	baj˧˧baj˧˩˨
bai miệng	baj˧˧miəŋ˨ˀ˩ʔ
bam cửa	bam˧˧kɯə˧˩˨
ban	ban˧˧
ban bí thư	ban˧˧bi˨˦tʰɯ˧˧
ban bệ	ban˧˧be˨ˀ˩ʔ
ban bố	ban˧˧bo˨˦
ban chiều	ban˧˧ciəw˧˨
ban chấp hành	ban˧˧cɤ̆p˦˥hɛŋ˧˨
ban chấp uỷ	ban˧˧cɤ̆p˦˥wi˧˩˨
ban chỉ huy	ban˧˧ci˧˩˨hwi˧˧
ban cua	ban˧˧kuə˧˧
ban công	ban˧˧koŋ͡m˧˧
ban cấp	ban˧˧kɤ̆p˦˥
ban giám hiệu	ban˧˧zam˨˦hiəw˨ˀ˩ʔ
ban giám đốc	ban˧˧zam˨˦dok͡p˦˥
ban gỉ sắt	ban˧˧ɣi˧˩˨săt˦˥
ban hành	ban˧˧hɛŋ˧˨
ban hồng	ban˧˧hoŋ͡m˧˨
ban khen	ban˧˧xɛn˧˧
ban lao	ban˧˧law˧˧
ban leo	ban˧˧leo˧˧
ban long	ban˧˧lɔŋ͡m˧˧
ban mai	ban˧˧maj˧˧
ban miêu	ban˧˧miəw˧˧
ban ngày	ban˧˧ŋăj˧˨
ban ngày ban mặt	ban˧˧ŋăj˧˨ban˧˧măt˨ˀ˩
ban nhật	ban˧˧ɲɤ̆t˨ˀ˩
ban nãy	ban˧˧năj˧ˀ˥
ban phát	ban˧˧fat˦˥
ban sáng	ban˧˧saŋ˨˦
ban sơ	ban˧˧sɤ˧˧
ban sớm	ban˧˧sɤm˨˦
ban thưởng	ban˧˧tʰɯəŋ˧˩˨
ban thứ	ban˧˧tʰɯ˨˦
ban trưa	ban˧˧cɯə˧˧
ban trắng	ban˧˧căŋ˨˦
ban tặng	ban˧˧tăŋ˨ˀ˩ʔ
ban tối	ban˧˧toj˨˦
ban vàng	ban˧˧vaŋ˧˨
ban xuất huyết	ban˧˧swɤ̆t˦˥hwiət˦˥
ban ân	ban˧˧ɤ̆n˧˧
ban đào	ban˧˧daw˧˨
ban đêm	ban˧˧dem˧˧
ban đầu	ban˧˧dɤ̆w˧˨
ban đỏ	ban˧˧dɔ˧˩˨
ban ơn	ban˧˧ɤn˧˧
ban-công	ban˧˧-koŋ͡m˧˧
ban-giô	ban˧˧-zo˧˧
ban-me	ban˧˧-mɛ˧˧
bang	baŋ˧˧
bang biện	baŋ˧˧biən˨ˀ˩ʔ
bang gia	baŋ˧˧za˧˧
bang giao	baŋ˧˧zaw˧˧
bang trưởng	baŋ˧˧cɯəŋ˧˩˨
bang trợ	baŋ˧˧cɤ˨ˀ˩ʔ
bang tá	baŋ˧˧ta˨˦
banh	bɛŋ˧˧
bao	baw˧˧
bao biếm	baw˧˧biəm˨˦
bao biện	baw˧˧biən˨ˀ˩ʔ
bao bì	baw˧˧bi˧˨
bao bọc	baw˧˧bɔk͡p˨ˀ˩
bao bố	baw˧˧bo˨˦
bao cao su	baw˧˧kaw˧˧su˧˧
bao cao-su	baw˧˧kaw˧˧-su˧˧
bao che	baw˧˧cɛ˧˧
bao chiếm	baw˧˧ciəm˨˦
bao chầy	baw˧˧cɤ̆j˧˨
bao chừ	baw˧˧cɯ˧˨
bao cấp	baw˧˧kɤ̆p˦˥
bao dai	baw˧˧zaj˧˧
bao dong	baw˧˧zɔŋ͡m˧˧
bao dung	baw˧˧zuŋ͡m˧˧
bao dung hột cải rộng rãi trôn kim	baw˧˧zuŋ͡m˧˧hot˨ˀ˩kaj˧˩˨zoŋ͡m˨ˀ˩ʔzaj˧ˀ˥con˧˧kim˧˧
bao giờ	baw˧˧zɤ˧˨
bao gói	baw˧˧ɣɔj˨˦
bao gồm	baw˧˧ɣom˧˨
bao hoa	baw˧˧hwa˧˧
bao hàm	baw˧˧ham˧˨
bao hình	baw˧˧hiŋ˧˨
bao la	baw˧˧la˧˧
bao la thiên địa	baw˧˧la˧˧tʰiən˧˧diə˨ˀ˩ʔ
bao lan	baw˧˧lan˧˧
bao lâu	baw˧˧lɤ̆w˧˧
bao lâu nay	baw˧˧lɤ̆w˧˧năj˧˧
bao lăm	baw˧˧lăm˧˧
bao lơn	baw˧˧lɤn˧˧
bao mua	baw˧˧muə˧˧
bao nhiêu	baw˧˧ɲiəw˧˧
bao nài	baw˧˧naj˧˨
bao nả	baw˧˧na˧˩˨
bao nỡ	baw˧˧nɤ˧ˀ˥
bao phấn	baw˧˧fɤ̆n˨˦
bao phủ	baw˧˧fu˧˩˨
bao quanh	baw˧˧kwɛŋ˧˧
bao quát	baw˧˧kwat˦˥
bao quản	baw˧˧kwan˧˩˨
bao sá	baw˧˧sa˨˦
bao sân	baw˧˧sɤ̆n˧˧
bao tay	baw˧˧tăj˧˧
bao thơ	baw˧˧tʰɤ˧˧
bao thầu	baw˧˧tʰɤ̆w˧˨
bao tiêu	baw˧˧tiəw˧˧
bao trùm	baw˧˧cum˧˨
bao tượng	baw˧˧tɯəŋ˨ˀ˩ʔ
bao tải	baw˧˧taj˧˩˨
bao tời	baw˧˧tɤj˧˨
bao tử	baw˧˧tɯ˧˩˨
bao vây	baw˧˧vɤ̆j˧˧
bao vây kinh tế	baw˧˧vɤ̆j˧˧kiŋ˧˧te˨˦
bao xa	baw˧˧sa˧˧
bao xiết	baw˧˧siət˦˥
bao đồng	baw˧˧doŋ͡m˧˨
bay	băj˧˧
bay biến	băj˧˧biən˨˦
bay bướm	băj˧˧bɯəm˨˦
bay bổng	băj˧˧boŋ͡m˧˩˨
bay chuyền	băj˧˧cwiən˧˨
bay hơi	băj˧˧hɤj˧˧
bay hồn bạt vía	băj˧˧hon˧˨bat˨ˀ˩viə˨˦
bay la	băj˧˧la˧˧
bay la bay chuyền	băj˧˧la˧˧băj˧˧cwiən˧˨
bay liệng	băj˧˧liəŋ˨ˀ˩ʔ
bay là	băj˧˧la˧˨
bay lượn	băj˧˧lɯən˨ˀ˩ʔ
bay lả bay la	băj˧˧la˧˩˨băj˧˧la˧˧
bay màu	băj˧˧măw˧˨
bay mùi	băj˧˧muj˧˨
bay nhảy	băj˧˧ɲăj˧˩˨
bay đầu	băj˧˧dɤ̆w˧˨
bay-on-nét	băj˧˧-ɔn˧˧-nɛt˦˥
be	bɛ˧˧
be be	bɛ˧˧bɛ˧˧
be bé	bɛ˧˧bɛ˨˦
be bét	bɛ˧˧bɛt˦˥
be con chạch	bɛ˧˧kɔn˧˧cɛk˨ˀ˩
be he	bɛ˧˧hɛ˧˧
be thuyền	bɛ˧˧tʰwiən˧˨
be-ri-li	bɛ˧˧-zi˧˧-li˧˧
bem	bɛm˧˧
bem bép	bɛm˧˧bɛp˦˥
ben	bɛn˧˧
ben-den	bɛn˧˧-zɛn˧˧
ben-tô-nít	bɛn˧˧-to˧˧-nit˦˥
beng	bɛŋ˧˧
beng beng	bɛŋ˧˧bɛŋ˧˧
beo	beo˧˧
beo béo	beo˧˧beo˨˦
bi	bi˧˧
bi ai	bi˧˧aj˧˧
bi ba bi bô	bi˧˧ba˧˧bi˧˧bo˧˧
bi bô	bi˧˧bo˧˧
bi ca	bi˧˧ka˧˧
bi chí	bi˧˧ci˨˦
bi cảm	bi˧˧kam˧˩˨
bi da	bi˧˧za˧˧
bi hoan	bi˧˧hwan˧˧
bi hoài	bi˧˧hwaj˧˨
bi hài	bi˧˧haj˧˨
bi hài kịch	bi˧˧haj˧˨kik˨ˀ˩
bi hùng	bi˧˧huŋ͡m˧˨
bi khúc	bi˧˧xuk͡p˦˥
bi kí	bi˧˧ki˨˦
bi kí học	bi˧˧ki˨˦hɔk͡p˨ˀ˩
bi ký	bi˧˧ki˨˦
bi kịch	bi˧˧kik˨ˀ˩
bi li	bi˧˧li˧˧
bi luỵ	bi˧˧lwi˨ˀ˩ʔ
bi lụy	bi˧˧luj˨ˀ˩ʔ
bi quan	bi˧˧kwan˧˧
bi sầu	bi˧˧sɤ̆w˧˨
bi thiết	bi˧˧tʰiət˦˥
bi thu	bi˧˧tʰu˧˧
bi thương	bi˧˧tʰɯəŋ˧˧
bi thảm	bi˧˧tʰam˧˩˨
bi tráng	bi˧˧caŋ˨˦
bi văn	bi˧˧văn˧˧
bi đup	bi˧˧dup˧˧
bi đát	bi˧˧dat˦˥
bi đình	bi˧˧diŋ˧˨
bi đông	bi˧˧doŋ͡m˧˧
bi-a	bi˧˧-a˧˧
bi-da	bi˧˧-za˧˧
bi-da-ma	bi˧˧-za˧˧-ma˧˧
bi-dăng-tin	bi˧˧-zăŋ˧˧-tin˧˧
bi-ki-ni	bi˧˧-ki˧˧-ni˧˧
bi-tum	bi˧˧-tum˧˧
bi-ăng-tin	bi˧˧-ăŋ˧˧-tin˧˧
bi-đông	bi˧˧-doŋ͡m˧˧
bia	biə˧˧
bia bọt	biə˧˧bɔt˨ˀ˩
bia chai	biə˧˧caj˧˧
bia danh	biə˧˧zɛŋ˧˧
bia hơi	biə˧˧hɤj˧˧
bia hộp	biə˧˧hop˨ˀ˩
bia lon	biə˧˧lɔn˧˧
bia miệng	biə˧˧miəŋ˨ˀ˩ʔ
bia tươi	biə˧˧tɯəj˧˧
bia đá bảng vàng	biə˧˧da˨˦baŋ˧˩˨vaŋ˧˨
bia đá tượng đồng	biə˧˧da˨˦tɯəŋ˨ˀ˩ʔdoŋ͡m˧˨
bia đỡ đạn	biə˧˧dɤ˧ˀ˥dan˨ˀ˩ʔ
bin	bin˧˧
bin đinh	bin˧˧diŋ˧˧
bin-đinh	bin˧˧-diŋ˧˧
binh	biŋ˧˧
binh biến	biŋ˧˧biən˨˦
binh bị	biŋ˧˧bi˨ˀ˩ʔ
binh bộ	biŋ˧˧bo˨ˀ˩ʔ
binh bộ thượng thư	biŋ˧˧bo˨ˀ˩ʔtʰɯəŋ˨ˀ˩ʔtʰɯ˧˧
binh chế	biŋ˧˧ce˨˦
binh chủng	biŋ˧˧cuŋ͡m˧˩˨
binh cách	biŋ˧˧kɛk˦˥
binh công xưởng	biŋ˧˧koŋ͡m˧˧sɯəŋ˧˩˨
binh cơ	biŋ˧˧kɤ˧˧
binh dịch	biŋ˧˧zik˨ˀ˩
binh gia	biŋ˧˧za˧˧
binh giới	biŋ˧˧zɤj˨˦
binh hoạ	biŋ˧˧hwa˨ˀ˩ʔ
binh hoả	biŋ˧˧hwa˧˩˨
binh hùng tướng giỏi	biŋ˧˧huŋ͡m˧˨tɯəŋ˨˦zɔj˧˩˨
binh hùng tướng mạnh	biŋ˧˧huŋ͡m˧˨tɯəŋ˨˦mɛŋ˨ˀ˩ʔ
binh khí	biŋ˧˧xi˨˦
binh khố	biŋ˧˧xo˨˦
binh lính	biŋ˧˧liŋ˨˦
binh lương	biŋ˧˧lɯəŋ˧˧
binh lược	biŋ˧˧lɯək˨ˀ˩
binh lửa	biŋ˧˧lɯə˧˩˨
binh lực	biŋ˧˧lɯk˨ˀ˩
binh mã	biŋ˧˧ma˧ˀ˥
binh nghiệp	biŋ˧˧ŋiəp˨ˀ˩
binh ngũ	biŋ˧˧ŋu˧ˀ˥
binh nhu	biŋ˧˧ɲu˧˧
binh nhung	biŋ˧˧ɲuŋ͡m˧˧
binh nhì	biŋ˧˧ɲi˧˨
binh nhất	biŋ˧˧ɲɤ̆t˦˥
binh pháp	biŋ˧˧fap˦˥
binh phí	biŋ˧˧fi˨˦
binh phục	biŋ˧˧fuk͡p˨ˀ˩
binh quyền	biŋ˧˧kwiɛn˧˨
binh sĩ	biŋ˧˧si˧ˀ˥
binh sự	biŋ˧˧sɯ˨ˀ˩ʔ
binh thuyền	biŋ˧˧tʰwiən˧˨
binh thư	biŋ˧˧tʰɯ˧˧
binh thế	biŋ˧˧tʰe˨˦
binh trạm	biŋ˧˧cam˨ˀ˩ʔ
binh tình	biŋ˧˧tiŋ˧˨
binh uy	biŋ˧˧wi˧˧
binh vận	biŋ˧˧vɤ̆n˨ˀ˩ʔ
binh vụ	biŋ˧˧vu˨ˀ˩ʔ
binh xưởng	biŋ˧˧sɯəŋ˧˩˨
binh đao	biŋ˧˧daw˧˧
binh đao khói lửa	biŋ˧˧daw˧˧xɔj˨˦lɯə˧˩˨
binh đoàn	biŋ˧˧dwan˧˨
binh đội	biŋ˧˧doj˨ˀ˩ʔ
biên	biən˧˧
biên bản	biən˧˧ban˧˩˨
biên chép	biən˧˧cɛp˦˥
biên chú	biən˧˧cu˨˦
biên chế	biən˧˧ce˨˦
biên cương	biən˧˧kɯəŋ˧˧
biên cảnh	biən˧˧kɛŋ˧˩˨
biên dạng	biən˧˧zaŋ˨ˀ˩ʔ
biên dịch	biən˧˧zik˨ˀ˩
biên giang	biən˧˧zaŋ˧˧
biên giới	biən˧˧zɤj˨˦
biên hoà	biən˧˧hwa˧˨
biên khu	biən˧˧xu˧˧
biên khảo	biən˧˧xaw˧˩˨
biên lai	biən˧˧laj˧˧
biên mậu	biən˧˧mɤ̆w˨ˀ˩ʔ
biên nhận	biən˧˧ɲɤ̆n˨ˀ˩ʔ
biên niên	biən˧˧niən˧˧
biên niên sử	biən˧˧niən˧˧sɯ˧˩˨
biên phòng	biən˧˧fɔŋ͡m˧˨
biên phương	biən˧˧fɯəŋ˧˧
biên quan	biən˧˧kwan˧˧
biên soạn	biən˧˧swan˨ˀ˩ʔ
biên sơn	biən˧˧sɤn˧˧
biên thuật	biən˧˧tʰwɤ̆t˨ˀ˩
biên thuỳ	biən˧˧tʰwi˧˨
biên thành	biən˧˧tʰɛŋ˧˨
biên thùy	biən˧˧tʰuj˧˨
biên tu	biən˧˧tu˧˧
biên tái	biən˧˧taj˨˦
biên tập	biən˧˧tɤ̆p˨ˀ˩
biên tập viên	biən˧˧tɤ̆p˨ˀ˩viən˧˧
biên tịch	biən˧˧tik˨ˀ˩
biên uỷ	biən˧˧wi˧˩˨
biên uỷ viên	biən˧˧wi˧˩˨viən˧˧
biên viễn	biən˧˧viən˧ˀ˥
biên đình	biən˧˧diŋ˧˨
biên đạo	biən˧˧daw˨ˀ˩ʔ
biên độ	biən˧˧do˨ˀ˩ʔ
biên đội	biən˧˧doj˨ˀ˩ʔ
biên ải	biən˧˧aj˧˩˨
biêng biếc	biəŋ˧˧biək˦˥
biêt	biət˧˧
biếc	biək˦˥
biếm	biəm˨˦
biếm hoạ	biəm˨˦hwa˨ˀ˩ʔ
biếm họa	biəm˨˦hwa˨ˀ˩ʔ
biếm quyền	biəm˨˦kwiɛn˧˨
biếm truất	biəm˨˦cwɤ̆t˦˥
biến	biən˨˦
biến báo	biən˨˦baw˨˦
biến chuyển	biən˨˦cwiən˧˩˨
biến chất	biən˨˦cɤ̆t˦˥
biến chế	biən˨˦ce˨˦
biến chủng	biən˨˦cuŋ͡m˧˩˨
biến chứng	biən˨˦cɯŋ˨˦
biến cách	biən˨˦kɛk˦˥
biến cải	biən˨˦kaj˧˩˨
biến cảm	biən˨˦kam˧˩˨
biến cố	biən˨˦ko˨˦
biến di	biən˨˦zi˧˧
biến diễn	biən˨˦ziən˧ˀ˥
biến dạng	biən˨˦zaŋ˨ˀ˩ʔ
biến dị	biən˨˦zi˨ˀ˩ʔ
biến dịch	biən˨˦zik˨ˀ˩
biến hoá	biən˨˦hwa˨˦
biến hoá thần thông	biən˨˦hwa˨˦tʰɤ̆n˧˨tʰoŋ͡m˧˧
biến hình	biən˨˦hiŋ˧˨
biến loạn	biən˨˦lwan˨ˀ˩ʔ
biến ngôi	biən˨˦ŋoj˧˧
biến nhiệt	biən˨˦ɲiət˨ˀ˩
biến phân	biən˨˦fɤ̆n˧˧
biến sắc	biən˨˦săk˦˥
biến số	biən˨˦so˨˦
biến thiên	biən˨˦tʰiən˧˧
biến thái	biən˨˦tʰaj˨˦
biến thân	biən˨˦tʰɤ̆n˧˧
biến thế	biən˨˦tʰe˨˦
biến thế tự ngẫu	biən˨˦tʰe˨˦tɯ˨ˀ˩ʔŋɤ̆w˧ˀ˥
biến thể	biən˨˦tʰe˧˩˨
biến thể lục bát	biən˨˦tʰe˧˩˨luk͡p˨ˀ˩bat˦˥
biến thể ngôn ngữ	biən˨˦tʰe˧˩˨ŋon˧˧ŋɯ˧ˀ˥
biến thể từ	biən˨˦tʰe˧˩˨tɯ˧˨
biến tiết	biən˨˦tiət˦˥
biến trá	biən˨˦ca˨˦
biến trở	biən˨˦cɤ˧˩˨
biến tính	biən˨˦tiŋ˨˦
biến tướng	biən˨˦tɯəŋ˨˦
biến tượng	biən˨˦tɯəŋ˨ˀ˩ʔ
biến tấu	biən˨˦tɤ̆w˨˦
biến tố	biən˨˦to˨˦
biến tốc	biən˨˦tok͡p˦˥
biến tốc kế	biən˨˦tok͡p˦˥ke˨˦
biến áp	biən˨˦ap˦˥
biến âm	biən˨˦ɤ̆m˧˧
biến điệu	biən˨˦diəw˨ˀ˩ʔ
biến đổi	biən˨˦doj˧˩˨
biến động	biən˨˦doŋ͡m˨ˀ˩ʔ
biến ảo	biən˨˦aw˧˩˨
biếng	biəŋ˨˦
biếng chơi	biəŋ˨˦cɤj˧˧
biếng nhác	biəŋ˨˦ɲak˦˥
biếng nhắp	biəŋ˨˦ɲăp˦˥
biếng ăn	biəŋ˨˦ăn˧˧
biết	biət˦˥
biết bao	biət˦˥baw˧˧
biết bao mà kể	biət˦˥baw˧˧ma˧˨ke˧˩˨
biết bụng	biət˦˥buŋ͡m˨ˀ˩ʔ
biết cho	biət˦˥cɔ˧˧
biết chừng	biət˦˥cɯŋ˧˨
biết chừng nào	biət˦˥cɯŋ˧˨naw˧˨
biết có	biət˦˥kɔ˨˦
biết dường nào	biət˦˥zɯəŋ˧˨naw˧˨
biết gì	biət˦˥ɣi˧˨
biết lấy chi cân	biət˦˥lɤ̆j˨˦ci˧˧kɤ̆n˧˧
biết mùi	biət˦˥muj˧˨
biết mùi chùi chẳng sạch	biət˦˥muj˧˨cuj˧˨căŋ˧˩˨sɛk˨ˀ˩
biết mấy	biət˦˥mɤ̆j˨˦
biết mặt biết người	biət˦˥măt˨ˀ˩biət˦˥ŋɯəj˧˨
biết người biết của	biət˦˥ŋɯəj˧˨biət˦˥kuə˧˩˨
biết người biết ta	biət˦˥ŋɯəj˧˨biət˦˥ta˧˧
biết rõ ruột gan	biət˦˥zɔ˧ˀ˥zuət˨ˀ˩ɣan˧˧
biết sao	biət˦˥saw˧˧
biết tay	biət˦˥tăj˧˧
biết tay ăn mặn thời chừa	biət˦˥tăj˧˧ăn˧˧măn˨ˀ˩ʔtʰɤj˧˨cɯə˧˨
biết thân	biət˦˥tʰɤ̆n˧˧
biết thân biết phận	biət˦˥tʰɤ̆n˧˧biət˦˥fɤ̆n˨ˀ˩ʔ
biết thóp	biət˦˥tʰɔp˦˥
biết thế	biət˦˥tʰe˨˦
biết thời biết thế	biət˦˥tʰɤj˧˨biət˦˥tʰe˨˦
biết thừa	biət˦˥tʰɯə˧˨
biết tiếng	biət˦˥tiəŋ˨˦
biết tỏng	biət˦˥tɔŋ͡m˧˩˨
biết tỏng tòng tong	biət˦˥tɔŋ͡m˧˩˨tɔŋ͡m˧˨tɔŋ͡m˧˧
biết việc	biət˦˥viək˨ˀ˩
biết ý	biət˦˥i˨˦
biết điều	biət˦˥diəw˧˨
biết đâu	biət˦˥dɤ̆w˧˧
biết đâu chừng	biət˦˥dɤ̆w˧˧cɯŋ˧˨
biết đâu là tổ chuồn chuồn	biət˦˥dɤ̆w˧˧la˧˨to˧˩˨cuən˧˨cuən˧˨
biết đâu mà há miệng chờ ho	biət˦˥dɤ̆w˧˧ma˧˨ha˨˦miəŋ˨ˀ˩ʔcɤ˧˨hɔ˧˧
biết đâu đấy	biət˦˥dɤ̆w˧˧dɤ̆j˨˦
biết ơn	biət˦˥ɤn˧˧
biếu	biəw˨˦
